fullname,city,longitude,latitude,yearspracticing,services_count,pharmadollars,score
KHANH K. NGUYEN,SAN JOSE,-121.8478,37.365013,19,17,727,6
MOSHE LEWIS,SAN FRANCISCO,-122.42031,37.747532,18,212,760,6
WEI WANG,SAN JOSE,-121.93723,37.327084,29,24,618,6
JEROME GOLDSTEIN,SAN FRANCISCO,-122.41714,37.789528,48,208,441275,10
ANTHONY YIN,SAN FRANCISCO,-122.42309,37.787361,8,145,307,3
GARY I. FELDMAN,SAN FRANCISCO,-122.43245,37.789112,27,47,5447,8
BENJAMIN Z. FONG,SAN FRANCISCO,-122.45302,37.774872,33,15,259,1
MARK OSCHERWITZ,SAN FRANCISCO,-122.41667,37.789135,57,61,256,1
LISA CAPALDINI,SAN FRANCISCO,-122.43571,37.768429,32,27,59958,10
IVOR A. EMANUEL,SAN FRANCISCO,-122.40968,37.788162,47,30,4989,8
GABRIEL M. KIND,SAN FRANCISCO,-122.43571,37.768429,28,26,50000,10
RICHARD A. FRANCOZ,SAN FRANCISCO,-122.4324,37.790154,44,23,372,4
MOHAMMED KASHANI-SABET,SAN FRANCISCO,-122.43176,37.791096,23,15,14340,9
JORDAN J. HOROWITZ,SAN FRANCISCO,-122.45462,37.786236,39,51,1820,7
STEVEN L. BLUMLEIN,SAN FRANCISCO,-122.45142,37.786728,36,14,564,5
ERNEST F. RIBERA,SAN MATEO,-122.32603,37.566257,35,20,567,5
MANJULA KAMARAJU,SAN JOSE,-121.94845,37.251076,28,15,562,5
RONALD G. CAMPOS,WALNUT CREEK,-122.05292,37.894955,38,49,1919,8
MARK E. HIGGINS,SAN FRANCISCO,-122.43571,37.768429,20,15,459,5
RACHEL A. HOYAL,SANTA ROSA,-122.70609,38.444111,4,92,337,4
DANNY B. LUONG,SAN JOSE,-121.85059,37.361233,23,125,5000,8
ROSANNA P. CHOW,SAN FRANCISCO,-122.45302,37.774872,,16,285,2
BILL N. WONG,PLEASANTON,-121.87923,37.692135,33,21,921,6
SHELDON ZITMAN,CUPERTINO,-122.033,37.293945,40,18,365,4
TODD D. SEVERIN,SAN RAMON,-121.95962,37.77647,25,47,30524,10
PAYAM TABRIZI,SAN JOSE,-121.93192,37.313755,,18,332,3
IAN C. ANDERSON,SANTA ROSA,-122.70145,38.442211,26,270,2944,8
PETER D. TAMULEVICH,CONCORD,-122.03596,37.984161,,450,259,1
CATHARINE T. CLARK-SAYLES,GREENBRAE,-122.53705,37.944862,35,157,259,1
YOGESH K. TREHAN,BRENTWOOD,-121.7365,37.926979,19,15,6226,9
KHOA D. NGUYEN,SAN JOSE,-121.93674,37.327038,25,52,276,2
MIRIAM N. GARCIA,SAN FRANCISCO,-122.42031,37.747532,13,28,282,2
ERIC J. SMALL,SAN FRANCISCO,-122.4397,37.78479,29,162,6405,9
JASON CHU,FREMONT,-121.98267,37.55579,28,112,387,4
DOUGLAS GRANT,WALNUT CREEK,-122.02914,37.929256,,667,332,3
EDDIE C. CHEUNG,OAKLAND,-122.27172,37.800285,40,606,5936,9
DONALD H. STANFORD,BERKELEY,-122.26315,37.86174,46,160,572,6
CLARICE C. CALOPIZ,SAN CARLOS,-122.24554,37.493198,21,106,257,1
WILLIAM J. MCALLISTER,LARKSPUR,-122.53988,37.94334,48,95,274,2
TRAVIS K. SVENSSON,SAN FRANCISCO,-122.43427,37.751316,,146,297,3
EPIFANIO J. DELEON,WALNUT CREEK,-122.07099,37.877762,16,21,330,3
ROBERT T. TORRANO,SAN JOSE,-121.97488,37.315834,33,2723,3700,8
ILKCAN COKGOR,GREENBRAE,-122.53692,37.944839,25,249,659,6
MAURIZIO BONACINI,SAN FRANCISCO,-122.42031,37.747532,32,19,5939,9
HONG H. BUI,SAN JOSE,-121.82542,37.320118,40,401,288,2
ALAN B. GOLDSOBEL,SAN JOSE,-121.97488,37.315834,37,416,8189,9
ERNEST Y. CHENG,EMERYVILLE,-122.28792,37.838726,,11,459,5
MICHAEL STEVENS,SAN JOSE,-121.93989,37.326538,33,16,11468,9
JANA TOMSKY,CLAYTON,-121.95606,37.952965,12,23,382,4
HARISH H. MURTHY,SAN JOSE,-121.95021,37.252205,20,13,11202,9
HELEN FENG,SAN JOSE,-121.9263,37.33577,27,79,271,2
JOHN I. UMEKUBO,SAN FRANCISCO,-122.42937,37.785683,37,737,346,4
ANITA BHAT,CONCORD,-122.03246,37.980648,9,62,269,2
SUDHAKAR TUMULURI,LOS GATOS,-121.96815,37.264008,19,87,30776,10
PAUL H. KIM,PLEASANT HILL,-122.0652,37.947865,24,166,253,1
DAVID S. MARCUS,BURLINGAME,-122.38168,37.593174,27,11,299,3
NENGCHUN HUANG,LOS GATOS,-121.96736,37.262138,30,842,15063,9
RAJESH SHINGHAL,SAN JOSE,-121.93192,37.313755,18,57,1998,8
TODD KAYE,MOUNTAIN VIEW,-122.06483,37.377022,28,248,2104,8
BRUCE A. CREE,SAN FRANCISCO,-122.45614,37.764011,17,71,23602,10
AMY N. BADGER-ASARAVALA,HAYWARD,-122.0787,37.675674,8,13,253,1
MINH Q. HUYNH,SAN JOSE,-121.87866,37.342754,36,12,272,2
MARTHA A. MEJIA,SAN CARLOS,-122.26562,37.503239,28,132,440,5
ULRICH BERG,SAN FRANCISCO,-122.43552,37.797356,42,15,334,3
KATHRYN K. RENSCHLER,PALO ALTO,-122.16187,37.439026,28,53,416,4
DAVID I. BRESSLER,CONCORD,-122.03596,37.984161,34,71,281,2
KARIM HUSSAIN,FREMONT,-121.98116,37.557617,49,77,1202,7
GEORGE W. BEATTY,SAN FRANCISCO,-122.40659,37.756321,,38,12000,9
BARRY SLATER,SAN JOSE,-121.99264,37.294456,44,190,568,5
INNA YASKIN,MOUNTAIN VIEW,-122.08373,37.36726,13,27,4059,8
INOCENCIO D. CANDELARIA,SAN RAMON,-121.96678,37.77626,10,92,655,6
BARRY E. SHIBUYA,FREMONT,-121.98296,37.547928,18,72,3661,8
FREDRIC C. MORGAN,PLEASANTON,-121.9301,37.692459,32,33,309,3
FLASH GORDON,GREENBRAE,-122.53651,37.944443,,578,263,1
ANN C. COTTRELL,WALNUT CREEK,-122.02914,37.929256,21,80,298,3
LAWRENCE WEIL,WALNUT CREEK,-122.02914,37.929256,22,18,1195,7
FATIMA TEHRANCHI,REDWOOD CITY,-122.25513,37.478336,,251,276,2
SHELLI S. BODNAR,FREMONT,-121.92625,37.491722,19,49,254,1
HERMENEGILDO G. ANGELES,DALY CITY,-122.47291,37.680809,30,39,337,4
ERIC P. BACHELOR,PLEASANTON,-121.87293,37.670422,39,14,25000,10
STEPHEN RASKIN,ALAMEDA,-122.25374,37.763287,41,112,15245,10
BELLA I. NUDEL,SAN FRANCISCO,-122.43865,37.785431,36,53,560,5
DANIEL P. MIRDA,NAPA,-122.29833,38.323166,30,372,11933,9
STEPHEN S. SCHNEIDER,SAN FRANCISCO,-122.4035,37.796246,44,289,6931,9
DENNIS J. VERDUCCI,SONOMA,-122.46391,38.289539,37,989,254,1
JAMES W. TETRUD,SUNNYVALE,-122.01556,37.402866,41,151,523,5
RISA KAGAN,BERKELEY,-122.25946,37.85722,36,279,24235,10
WILLIAM D. NABER,SAN FRANCISCO,-122.42309,37.787361,38,333,572,6
LINDA M. GAUDIANI,GREENBRAE,-122.533,37.943546,38,23,104614,10
DIVYA KINI,DALY CITY,-122.47508,37.675583,19,25,365,4
PADMA MAHAJAN,SAN JOSE,-121.95025,37.252567,41,15,266,1
BRUCE A. BENEDICK,E PALO ALTO,-122.14244,37.459103,,339,269,2
HON Y. CHAN,VACAVILLE,-121.9838,38.354992,33,129,260,1
UMA MAHADEVAN,SAN FRANCISCO,-122.44037,37.784256,19,15,49869,10
CLAIRE M. SERRATO,SAN MATEO,-122.32603,37.566257,21,23,333,3
EDWARD F. LOKER,PETALUMA,-122.63478,38.25153,44,17,251,1
LEE J. LEVITT,SAN JOSE,-121.93192,37.313755,40,388,2260,8
IMMANUEL A. ASUNCION,RICHMOND,-122.32912,37.978165,11,22,392,4
LAWRENCE A. EPSTEIN,MOUNTAIN VIEW,-122.07795,37.372345,53,25,1220,7
TRACEY ROBINSON,SAN FRANCISCO,-122.42309,37.787361,25,16,3653,8
C. MICHAEL NEUWELT,SAN LEANDRO,-122.14212,37.714703,39,570,5755,8
ROBERT J. COLVIN,SAN FRANCISCO,-122.43099,37.791183,15,11,5000,8
EUGENE J. BURBIGE,CONCORD,-122.03406,37.985153,44,12,26334,10
JEFFREY M. ARON,SAN FRANCISCO,-122.43176,37.791096,47,27,2045,8
ROOBAL S. SEKHON,PITTSBURG,-121.87117,38.007111,11,109,252,1
HARAMANDEEP SINGH,SAN RAMON,-121.95986,37.776768,20,89,48261,10
HYUN KANG,SANTA ROSA,-122.70114,38.442978,30,16,1034,7
SILPA AVULA,SAN JOSE,-121.93631,37.327103,23,180,271,2
JOHN A. LINFOOT,LAFAYETTE,-122.11359,37.891556,57,344,12044,9
MINH N. DANG,PLEASANTON,-121.90936,37.690876,20,136,257,1
ADAM H. MARVIN,OAKLAND,-122.26389,37.818897,39,236,283,2
JENNIFER D. HAGGERTY,SAN JOSE,-121.94845,37.251076,10,26,561,5
SABIHA RASHEED,FREMONT,-121.9742,37.566669,23,32,265,1
MARTIN C. LEUNG,SAN FRANCISCO,-122.43401,37.733624,36,609,358,4
MARY D. DEFIGARD,LOS GATOS,-121.93311,37.243378,42,82,454,5
JACK SIEGEL,SAN JOSE,-121.95099,37.253117,42,11,262,1
CHUANFANG SHIH,FREMONT,-121.98,37.558651,30,751,283,2
TRUNG NGUYEN,MOUNTAIN VIEW,-122.07795,37.369011,,14,567,5
XIAOGUANG HUANG,OAKLAND,-122.27065,37.799805,32,538,1010,7
STEVEN KANG,OAKLAND,-122.26328,37.820755,18,38,82559,10
ZULFIQAR ALI,FREMONT,-121.98,37.558651,44,111,347,4
ANNE F. LUETKEMEYER,SAN FRANCISCO,-122.40659,37.756321,15,26,16291,10
OLIVIA LEE,SAN JOSE,-121.93192,37.313755,8,97,65000,10
NORMAN J. ROSEN,WALNUT CREEK,-122.04181,37.91201,55,177,617,6
DAE-WOOK KANG,SAN JOSE,-121.93484,37.331684,22,165,457,5
LAURENCE H. LIEF,SAN FRANCISCO,-122.43929,37.784344,40,256,607,6
ERNEST M. THOMAS,LOS GATOS,-121.96725,37.263245,54,41,256,1
ALICE L. YAN,DALY CITY,-122.47508,37.675583,31,135,558,5
JEANIESAR B. CALUAG,SAN FRANCISCO,-122.45302,37.774872,17,93,333,3
CHAU T. NGUYEN,SAN JOSE,-121.8541,37.36245,40,32,751,6
LAWRENCE D. LENHART,SAN MATEO,-122.3273,37.567493,52,15,391,4
SAUL EISENSTAT,MOUNTAIN VIEW,-122.07795,37.372345,49,17,621,6
CORBY S. KESSLER,NAPA,-122.29513,38.323666,22,137,15937,10
NEAL L. BENOWITZ,SAN FRANCISCO,-122.40651,37.755527,45,24,33954,10
MARVIN P. MASADA,SAN JOSE,-121.8147,37.307674,19,13,364,4
ANGELO C. ARCILLA,DALY CITY,-122.47292,37.680737,24,52,356,4
JATINDER P. MARWAHA,SAN RAMON,-121.9527,37.763309,23,39,276,2
MICHAEL SIEGEL,SAN MATEO,-122.33012,37.567039,34,32,288,2
DAVID M. WOODHOUSE,VACAVILLE,-121.9838,38.354992,33,175,1018,7
ERIC GEISER,SAN FRANCISCO,-122.43205,37.791,12,141,331,3
PHILLIP L. ROSS,OAKLAND,-122.26389,37.818897,15,38,1025,7
BERTHA S. JALILIE,CUPERTINO,-122.033,37.293945,21,76,434,5
SANJAY K. AGARWAL,SAN JOSE,-121.84727,37.362152,19,12,11182,9
BRUCE J. DREYFUSS,SAN JOSE,-121.87766,37.343109,37,68,1367,7
JOSEPH A. HABIS,SAN RAFAEL,-122.53886,38.004272,24,63,964,7
JIM Y. WU,VACAVILLE,-121.95303,38.3545,,117,450,5
JEAN F. LUONG,SAN JOSE,-121.93992,37.325565,31,39,550,5
DIANA L. SYLVESTRE,OAKLAND,-122.26849,37.816364,26,20,4966,8
BRITTANY L. GOSS,NAPA,-122.30161,38.320644,9,59,1617,7
ANDREW Y. LIN,SUNNYVALE,-122.02795,37.358974,22,13,312,3
JERRY YEN,PLEASANTON,-121.87923,37.692135,36,17,765,6
JANE YIEH,SAN JOSE,-121.94653,37.251133,20,24,453,5
KENNETH S. PETERS,MOUNTAIN VIEW,-122.08836,37.387112,39,12,6000,9
RAHUL KHURANA,MOUNTAIN VIEW,-122.08168,37.368675,12,157,5000,8
OSTAP G. MELNYK,SAN LEANDRO,-122.14181,37.714478,,297,6500,9
EMILY YONG,SAN FRANCISCO,-122.40904,37.799866,32,15,439,5
JOSHUA S. JACOBS,WALNUT CREEK,-122.04129,37.911732,24,406,170160,10
CHARLENE HU,PLEASANTON,-121.87705,37.672176,31,53,464,5
LESTER B. JACOBSON,SAN FRANCISCO,-122.43205,37.791,47,30,428,5
EDWARD S. KERSH,SAN FRANCISCO,-122.42031,37.747532,45,11,18811,10
ROSALINDA A. MANDREZA,SAN JOSE,-121.82262,37.318871,33,14,739,6
RONALD R. UYEYAMA,SAN JOSE,-121.93723,37.327084,51,17,253,1
STEPHEN D. SCHWARTZ,SANTA ROSA,-122.66393,38.442444,44,17,5000,8
CYNTHIA M. CARSOLIN-CHANG,SAN FRANCISCO,-122.42031,37.747532,41,304,265,1
LAYBON JONES,VALLEJO,-122.21526,38.104237,36,22,8940,9
DONALD F. GERMAN,SAN FRANCISCO,-122.49294,37.779808,54,18,323,3
SHELLEY M. GORDON,SAN FRANCISCO,-122.4324,37.790154,,118,286,2
FAYAZ ASGHAR,SAN JOSE,-121.84666,37.361626,43,155,779,6
JUAN E. POSADA,SAN JOSE,-121.85059,37.361233,28,178,1042,7
KEITH LEE,PALO ALTO,-122.16225,37.439377,15,185,277,2
ARI D. BARON,SAN FRANCISCO,-122.4324,37.790154,24,77,6750,9
FELICIA L. STERMAN,SAN FRANCISCO,-122.43571,37.768429,20,11,32930,10
DAVID HYUN,SANTA CLARA,-121.9834,37.323147,24,21,252,1
ANDREW J. BENN,WALNUT CREEK,-122.04305,37.912754,28,16,13445,9
JOHN R. ROSTKOWSKI,WALNUT CREEK,-122.04129,37.911732,45,385,531,5
VENKAT R. PEDDI,SAN FRANCISCO,-122.43176,37.791096,28,30,1489,7
